Date,Host,Brand,Type ,Region,Tasting notes
July 2020,Beau,Teeling,Single Grain,Ireland,"Nose: Honeyed apple flesh and red grape, sweet and slightly floral with fragrant vanilla and spice, evaporated milk and brown sugar.
Palate: There's treacle on the palate, but it's light and buttery with dried cranberry developing.
Finish: Into golden syrup tart and sweet egg custard now with spicy cereal.
Overall: This is a thoroughly enjoyable grain whiskey, sweet and fairly light but full of flavour."
August 2020,Jesse,Dewars ,15 year Blended Scotch ,Scotland,
September 2020,Beau,Nikka Coffey,Single Grain,Japan,"Nose: Bourbon-like vanilla and corn notes with a herbal hint of chamomile.
Palate: Sweet, fruity flavours of melon, grapefruit and thick syrup, balanced by crunchy biscuits and fresh vanilla.
Finish: The corn notes, sweet and vibrant, last on the finish.
Overall: Fans of grain whisky should be pretty happy with this, as well as bourbon lovers."
October 2020,Jesse,Defiant,Single Malt,North Carolina,"opens with honey and vanilla notes that meld into a malty spiciness, encouraging exploration. The same qualities appear on the palate, but there's a woody sharpness underlying the sweetness and spice here"
November 2020,Beau,The Family Jones,Ella Jones (rye),Denver,"Tasting notes: Notes of brûléed vanilla sugar, toasted sweet corn, dark cherry and light smoke."
December 2020,Jesse,Bulleit 10 year,Rye,Kentucky,Appearance / Color The color of baked yams.       Nose / Aroma / Smell Mulling spices and honey-mead.      Flavor / Taste / Palate A smoky bananas foster with a hint of anise.   Finish  Smooth and vibrant.
January 2021,Beau,High West,"Flight: 
- American Prairie 
- Double Rye
- Rendezvous Rye",Salt Lake City,"- American Prairie:
Nose: Light caramel and sweet vanilla
Taste: Rich and earthy on the palate with well balanced flavors of candy corn, honey nougat and sweet corn bread biscuits
Finish: Vanilla with a hint of caramel apple
- Double Rye: 
Nose: Mint, clove, cinnamon, licorice root, pine nuts, and dark chocolate, with a surprising dose of gin botanicals throughout
Taste: Rye spices up front, then menthol, mint, eucalyptus, herbal tea with wildflower honey and all spice
Finish: Cinnamon and mint, gradually sweetening through the finish, with a hint of anise
- Rendezvous Rye:
Nose: A big nose of cinnamon stick, clove, vanilla, peppermint, caramelized sugar and dried fruit
Taste: Very spicy, with cinnamon, crisp mint and fennel, underlying sweet notes of caramel, molasses, vanilla, macaroon, cocoa, and candied fruit.
Finish: Takes hold with huge rye spice, cinnamon, orange rind, and vanilla and it lingers for ages."
February 2021,Jesse,Michter's,Bourbon ,Kentucky,"Deep amber. Brown sugar and thick caramel, with red apples and grapes. Rich vanilla with a slight spiciness to it, more apples and bursts of banana. Lingers just enough, vanilla and hints of sweet oak wood."
March 2021,Beau,Koval,"Flight:
- Bourbon
- Rye
- Four Grain",Chicago,"Bourbon - mango chutney and vanilla on the palate, with a peppery caramel finish.
Rye - light whiskey that offers mellow and somewhat sweet notes of maple and candy corn, with a classically spicy finish. 
Four Grain - The four grains define its depth with a banana nose, creamy palate, and spicy finish. Perfect sipped straight or with a single sphere of ice."
April 2021,Drew,Belle Meade,"Flight:
Sherry Cask Finish
XO Cognac Cask Finish
Madeira Cask Finish","Nashville, Tennessee ","Sherry - Nose: Sweet, dried fruits, caramel, floral notes; Palate: dark, rich, spicey; Finish: Long, nutty
Cognac - Nose: Sweet, creamy, orange, cinnamon; Palate: Vanilla, Caramel,  baking spices; Finish: Cedar, woody
Madeira -  Nose: Floral, vanilla, toffee; Palate: Honey, vanilla, cherry, caramel, velvety; Finish: malt, chocolate"
May 2021,Jesse,Hogback,High rye bourbon,"Boulder, CO","hints of vanilla and honey shine through the dominant rye bread, green tea and floral character. A subtle but long licorice finish"
June 2021,Beau,Woods,Alpine Rye,"Salida, CO","Rose-gold in color with a bouquet full of tart green apple, caramel, and honey. Essences of creme brûlée and warm vanilla sugar begin the initial palate before a tingly rye spice takes over for the remainder. The finish is full of caramel sweetness. Overall, very sweet for a rye."
July 2021,Drew,Penelope Bourbon,Barrel Strength,New Jersey,"Aroma - Sweet caramel with a hints of maple syrup and candied sweetness
Forward Notes - Smooth caramel syrup, brown sugar, subtle barrel char, and hints of butterscotch and
crème brûlée
Body - Sweetness transitions to notes of cinnamon, barrel char, and slight maple syrup
Finish - Spicy cinnamon finish with amazing lingering spice and heat."
August 2021,Jesse,Lagavulin,Single Malt Scotch Whiskey-11 Year Old Nick Offerman Guinness Cask Finish,"Islay, Scotland","Appearance / Color Deep Gold  Nose / Aroma / Smell It's classic Lagavulin with BBQ smoke, brine, and citrus notes, along with a fresh new layer of vanilla and chocolate.  Flavor / Taste / Palate The aromas translate onto the palate with salted caramel, campfire, sea spray, and fruit. The dark chocolate and vanilla notes are joined by a touch of chili pepper.  Finish The finish lingers with peat and chili pepper."
September 2021,Beau,,,,
October 2021,Drew,,,,
November 2021,Jesse,Short Stack,Straight Rye Whiskey,New York,"Nose / Aroma / Smell Vanilla and maple mellow into hints of oak.  Flavor / Taste / Palate Sweet notes of vanilla and maple give way to mint and spiciness of the rye.  Finish Long, lingering aftertaste"
December 2021,Beau,Breckenridge ,Blue & Orange,,
March 2022,Jesse,Molly Brown,High Rye Bourbon,Colorado,"Bourbon with a familiar corn sweetness up front followed by subtle spice and complexity derived from the rye and barley as it rolls over the tongue. Alluring notes of maple, caramel , complex vanilla, subtle oak, hints of malt, dried fruit and spices "
May 2022,Beau,Uncle Nearest,1884 Small Batch Whiskey,"Shelbyville, Tennessee","Nose: Warm brown sugar and aromatic wood notes of pecan and oak. Toasted frame and cherry cordial. Balanced spices of some nutmeg and coriander.

Palate: Pleasant wrap of sweetness. Hints of coconut and walnut, maple syrup and cinnamon at the finish. Herbal rosemary.

Finish: Cinnamon lingers with oak tannins and continues with campfire smoke notes.

Comments: This is well done with complexity and balance.

Nose: Honeyed nuts with layers of vanilla, brown sugar, allspice and anise. Smells like dessert in a glass.

Palate: Crème Brûlée drizzled with honey. Sweetness is prevented from being cloying by oaky spice with plenty of pepper for welcome heat. This is accompanied by some figs and dates.

Finish: This was a simple finish. Fruit dried quickly to short lived oak at the end. 

Comments: Water released more of the fruit and smoothed out the pepper and warm oak."
June,Jesse,Rowan's Creek,Bourbon Whiskey,,
August 2022,Beau,Spirit Hound,Straight Malt Whiskey,"Lyons, CO","Barrel #233: Nose is fruity, with notes of fresh pink lady apple and lemon zest. Medium body, with flavors of hazelnut and hickory up front and raisins and mild cardamom on the back end. Lingers malty and grainy, with a cooling finish."
,Jesse,Rittenhouse Rye and Mile High Spirits,,,
June 2024,Jesse,Tenjaku ,Pure Malt,Japan,"Color [*]
Deep amber
Nose
Nutty, with hints of green apple and fresh herbs. Richly rounded with only a slight smokiness. PALATE:
A crisp presence, solid, yet delicate, round, and smooth in the mouth.
Finish
Refreshing and clear aftertaste with a long finish. Vanilla notes give way to understated woody flavors that linger in the mouth. "
July 2024,Drew,Kamaki Intense,Single Malt,Japan,